Country,CountryName,TotalCase,NewCase,TotalDeath,NewDeath,TotalRecoverd,Active,Serious,TotalTests,Population,Date,AverageDate
U,USA,311357,34196,8452,1331,14825,288080,8206,1632955,331060504,4/4/20,04/04/20
S,Spain,126168,6969,11947,749,34219,80002,6532,355000,46755366,4/4/20,04/04/20
I,Italy,124632,4805,15362,681,20996,88274,3994,657224,60458858,4/4/20,04/04/20
G,Germany,96092,4933,1444,169,26400,68248,3936,918460,83792278,4/4/20,04/04/20
F,France,89953,7788,7560,1053,15438,66955,6838,224254,65278075,4/4/20,04/04/20
C,China,81639,19,3326,4,76755,1558,331,0,1439323776,4/4/20,04/04/20
I,Iran,55743,2560,3452,158,19736,32555,4103,186000,84021254,4/4/20,04/04/20
U,UK,41903,3735,4313,708,135,37455,163,183190,84021254,4/4/20,04/04/20
T,Turkey,23934,3013,501,76,786,22647,1311,161380,67896748,4/4/20,04/04/20
S,Switzerland,20505,899,666,75,6415,13424,391,153440,84363898,4/4/20,04/04/20
B,Belgium,18431,1661,1283,140,3247,13901,1245,70000,8656463,4/4/20,04/04/20
N,Netherlands,16627,904,1651,164,250,14726,1360,75415,17136070,4/4/20,04/04/20
C,Canada,13912,1537,231,23,2595,11086,120,317972,37751539,4/4/20,04/04/20
A,Austria,11781,257,186,18,2507,9088,245,104134,9007934,4/4/20,04/04/20
P,Portugal,10524,638,266,20,75,10183,251,81087,0,4/4/20,04/04/20
B,Brazil,10360,1166,445,82,127,9788,296,54824,0,4/4/20,04/04/20
S,S. Korea,10156,94,177,3,6325,3654,55,455032,0,4/4/20,04/04/20
I,Israel,7851,423,44,4,427,7380,115,90394,0,4/4/20,04/04/20
S,Sweden,6443,312,373,15,205,5865,379,36900,0,4/4/20,04/04/20
N,Norway,5550,180,62,3,32,5456,98,105865,0,4/4/20,04/04/20
A,Australia,5550,96,30,2,585,4935,85,286786,0,4/4/20,04/04/20
R,Russia,4731,582,43,9,333,4355,8,639606,0,4/4/20,04/04/20
I,Ireland,4604,331,137,17,25,4442,148,30213,0,4/4/20,04/04/20
C,Czechia,4472,282,59,6,78,4335,87,74170,0,4/4/20,04/04/20
C,Chile,4161,424,27,5,528,3606,38,48613,0,4/4/20,04/04/20
D,Denmark,4077,320,161,22,1283,2633,142,45270,0,4/4/20,04/04/20
P,Poland,3627,244,79,8,116,3432,50,72901,0,4/4/20,04/04/20
R,Romania,3613,430,146,13,329,3138,119,36092,0,4/4/20,04/04/20
I,India,3588,529,99,13,229,3260,0,116608,0,4/4/20,04/04/20
M,Malaysia,3483,150,57,4,915,2511,99,49570,0,4/4/20,04/04/20
E,Ecuador,3465,97,172,27,100,3193,100,11309,0,4/4/20,04/04/20
J,Japan,3139,204,77,8,514,2548,64,42882,0,4/4/20,04/04/20
P,Philippines,3094,76,144,8,57,2893,1,5530,0,4/4/20,04/04/20
P,Pakistan,2818,132,41,1,131,2646,13,30308,0,4/4/20,04/04/20
L,Luxembourg,2729,117,31,0,500,2198,35,22793,0,4/4/20,04/04/20
S,Saudi Arabia,2179,140,29,4,420,1730,41,0,0,4/4/20,04/04/20
I,Indonesia,2092,106,191,10,150,1751,0,7896,0,4/4/20,04/04/20
T,Thailand,2067,89,20,1,674,1373,23,23669,0,4/4/20,04/04/20
F,Finland,1882,267,25,5,300,1557,72,29000,0,4/4/20,04/04/20
P,Panama,1801,128,46,5,13,1742,50,7333,0,4/4/20,04/04/20
P,Peru,1746,151,73,12,914,759,88,17841,0,4/4/20,04/04/20
M,Mexico,1688,178,60,10,633,995,1,15668,0,4/4/20,04/04/20
G,Greece,1673,60,68,5,78,1527,92,22437,0,4/4/20,04/04/20
S,Serbia,1624,148,44,5,54,1526,89,6401,0,4/4/20,04/04/20
S,South Africa,1585,80,9,0,95,1481,7,53937,0,4/4/20,04/04/20
D,Dominican Republic,1578,90,77,9,17,1484,147,4542,0,4/4/20,04/04/20
U,UAE,1505,241,10,1,125,1370,2,220000,0,4/4/20,04/04/20
A,Argentina,1451,98,43,1,279,1129,0,8488,0,4/4/20,04/04/20
I,Iceland,1417,53,4,0,396,1017,12,23640,0,4/4/20,04/04/20
C,Colombia,1406,139,32,7,85,1289,50,23706,0,4/4/20,04/04/20
Q,Qatar,1325,250,3,0,109,1213,37,31951,0,4/4/20,04/04/20
A,Algeria,1251,80,130,25,90,1031,0,3359,0,4/4/20,04/04/20
U,Ukraine,1225,153,32,5,25,1168,16,5040,0,4/4/20,04/04/20
S,Singapore,1189,75,6,1,297,886,24,39000,0,4/4/20,04/04/20
C,Croatia,1126,47,12,4,119,995,39,9833,0,4/4/20,04/04/20
E,Egypt,1070,85,71,5,241,758,0,25000,0,4/4/20,04/04/20
E,Estonia,1039,78,13,1,59,967,20,19091,0,4/4/20,04/04/20
S,Slovenia,977,43,22,2,79,876,31,27109,0,4/4/20,04/04/20
N,New Zealand,950,82,1,0,127,822,1,33116,0,4/4/20,04/04/20
M,Morocco,919,128,59,11,66,794,1,4321,0,4/4/20,04/04/20
I,Iraq,878,58,56,2,259,563,0,0,0,4/4/20,04/04/20
H,Hong Kong,862,17,4,0,173,685,8,90000,0,4/4/20,04/04/20
L,Lithuania,771,75,11,2,7,753,11,21376,0,4/4/20,04/04/20
A,Armenia,770,34,7,0,43,720,30,3994,0,4/4/20,04/04/20
M,Moldova,752,161,12,4,29,711,65,681,0,4/4/20,04/04/20
D,Diamond Princess,712,0,11,0,619,82,10,0,0,4/4/20,04/04/20
B,Bahrain,688,16,4,0,423,261,3,39379,0,4/4/20,04/04/20
H,Hungary,678,55,32,6,58,588,17,19424,0,4/4/20,04/04/20
B,Bosnia and Herzegovina,624,45,21,4,30,573,4,5349,0,4/4/20,04/04/20
C,Cameroon,555,46,9,1,17,529,0,0,0,4/4/20,04/04/20
T,Tunisia,553,58,18,0,5,530,26,6485,0,4/4/20,04/04/20
K,Kazakhstan,531,67,5,2,36,490,6,316,0,4/4/20,04/04/20
A,Azerbaijan,521,78,5,0,32,484,17,35000,0,4/4/20,04/04/20
L,Lebanon,520,12,17,0,54,449,27,9022,0,4/4/20,04/04/20
L,Latvia,509,16,1,0,1,507,3,19380,0,4/4/20,04/04/20
B,Bulgaria,503,18,17,3,34,452,26,566,0,4/4/20,04/04/20
N,North Macedonia,483,53,17,5,20,446,11,4920,0,4/4/20,04/04/20
K,Kuwait,479,62,1,1,93,385,17,0,0,4/4/20,04/04/20
S,Slovakia,471,21,1,0,10,460,3,13631,0,4/4/20,04/04/20
A,Andorra,466,27,17,1,21,428,12,0,0,4/4/20,04/04/20
B,Belarus,440,89,5,1,53,382,11,32000,0,4/4/20,04/04/20
C,Costa Rica,435,19,2,0,13,420,13,4654,0,4/4/20,04/04/20
C,Cyprus,426,30,9,-2,33,384,11,10154,0,4/4/20,04/04/20
U,Uruguay,400,14,5,1,93,302,13,5063,0,4/4/20,04/04/20
T,Taiwan,355,7,5,0,50,300,0,36304,0,4/4/20,04/04/20
R,Réunion,334,13,0,0,40,294,4,0,0,4/4/20,04/04/20
A,Albania,333,29,20,3,99,214,7,2247,0,4/4/20,04/04/20
J,Jordan,323,13,5,0,74,244,5,239,0,4/4/20,04/04/20
B,Burkina Faso,318,16,16,0,66,236,0,0,0,4/4/20,04/04/20
A,Afghanistan,309,28,7,1,10,292,0,0,0,4/4/20,04/04/20
C,Cuba,288,19,6,0,15,267,11,3342,0,4/4/20,04/04/20
O,Oman,277,25,2,1,61,214,3,0,0,4/4/20,04/04/20
U,Uzbekistan,266,39,2,0,25,239,8,0,0,4/4/20,04/04/20
H,Honduras,264,42,15,0,3,246,10,0,0,4/4/20,04/04/20
C,Channel Islands,262,30,5,1,13,244,0,0,0,4/4/20,04/04/20
S,San Marino,259,8,32,0,27,200,14,586,0,4/4/20,04/04/20
I,Ivory Coast,245,27,1,0,25,219,0,0,0,4/4/20,04/04/20
V,Vietnam,240,1,0,0,90,150,3,75458,0,4/4/20,04/04/20
S,Senegal,219,12,2,1,72,145,1,195,0,4/4/20,04/04/20
P,Palestine,217,23,1,0,21,195,0,7553,0,4/4/20,04/04/20
N,Nigeria,214,4,4,0,25,185,2,4000,0,4/4/20,04/04/20
M,Malta,213,11,0,0,2,211,3,9703,0,4/4/20,04/04/20
G,Ghana,205,0,5,0,31,169,2,0,0,4/4/20,04/04/20
M,Montenegro,201,27,2,0,1,198,4,1456,0,4/4/20,04/04/20
M,Mauritius,196,10,7,0,7,182,1,0,0,4/4/20,04/04/20
F,Faeroe Islands,181,2,0,0,93,88,2,4800,0,4/4/20,04/04/20
S,Sri Lanka,166,7,5,1,27,134,5,0,0,4/4/20,04/04/20
G,Georgia,162,7,1,1,36,125,6,0,0,4/4/20,04/04/20
V,Venezuela,155,2,7,0,52,96,6,1779,0,4/4/20,04/04/20
D,DRC,154,6,18,2,3,133,0,0,0,4/4/20,04/04/20
M,Martinique,145,2,3,0,27,115,22,0,0,4/4/20,04/04/20
N,Niger,144,24,8,3,0,136,0,4012,0,4/4/20,04/04/20
K,Kyrgyzstan,144,14,1,0,9,134,5,9618,0,4/4/20,04/04/20
B,Bolivia,139,7,10,1,1,128,3,591,0,4/4/20,04/04/20
B,Brunei,135,1,1,0,66,68,3,7801,0,4/4/20,04/04/20
G,Guadeloupe,134,4,7,0,24,103,14,0,0,4/4/20,04/04/20
M,Mayotte,134,6,2,0,14,118,3,479,0,4/4/20,04/04/20
K,Kenya,126,4,4,0,4,118,2,2201,0,4/4/20,04/04/20
I,Isle of Man,126,12,1,0,0,125,0,1319,0,4/4/20,04/04/20
C,Cambodia,114,0,0,0,50,64,1,5768,0,4/4/20,04/04/20
G,Guinea,111,38,0,0,5,106,0,0,0,4/4/20,04/04/20
T,Trinidad and Tobago,103,5,6,0,1,96,0,736,0,4/4/20,04/04/20
R,Rwanda,102,13,0,0,0,102,0,0,0,4/4/20,04/04/20
G,Gibraltar,98,3,0,0,52,46,0,1269,0,4/4/20,04/04/20
P,Paraguay,96,4,3,0,12,81,2,1289,0,4/4/20,04/04/20
L,Liechtenstein,77,2,1,1,0,76,0,900,0,4/4/20,04/04/20
B,Bangladesh,70,9,8,2,30,32,1,2086,0,4/4/20,04/04/20
M,Madagascar,70,0,0,0,0,70,6,0,0,4/4/20,04/04/20
M,Monaco,66,2,1,0,3,62,2,0,0,4/4/20,04/04/20
A,Aruba,64,2,0,0,1,63,0,863,0,4/4/20,04/04/20
G,Guatemala,61,11,2,1,15,44,1,1134,0,4/4/20,04/04/20
F,French Guiana,61,4,0,0,22,39,1,0,0,4/4/20,04/04/20
E,El Salvador,56,10,3,0,2,51,4,0,0,4/4/20,04/04/20
J,Jamaica,53,0,3,0,7,43,0,540,0,4/4/20,04/04/20
B,Barbados,52,1,0,0,0,52,0,382,0,4/4/20,04/04/20
D,Djibouti,50,1,0,0,8,42,0,0,0,4/4/20,04/04/20
U,Uganda,48,0,0,0,0,48,0,2629,0,4/4/20,04/04/20
M,Macao,44,2,0,0,10,34,0,0,0,4/4/20,04/04/20
M,Mali,41,2,3,0,1,37,0,0,0,4/4/20,04/04/20
T,Togo,41,1,3,0,17,21,0,0,0,4/4/20,04/04/20
F,French Polynesia,40,1,0,0,0,40,1,583,0,4/4/20,04/04/20
Z,Zambia,39,0,1,0,2,36,0,619,0,4/4/20,04/04/20
E,Ethiopia,38,3,0,0,4,34,1,1222,0,4/4/20,04/04/20
B,Bermuda,37,2,0,0,14,23,0,291,0,4/4/20,04/04/20
C,Cayman Islands,35,6,1,0,1,33,0,319,0,4/4/20,04/04/20
E,Eritrea,29,7,0,0,0,29,0,0,0,4/4/20,04/04/20
B,Bahamas,28,4,4,1,0,24,1,0,0,4/4/20,04/04/20
S,Saint Martin,24,2,2,1,5,17,6,18,0,4/4/20,04/04/20
G,Guyana,23,0,4,0,0,19,0,83,0,4/4/20,04/04/20
S,Sint Maarten,23,0,4,0,6,13,0,82,0,4/4/20,04/04/20
C,Congo,22,0,2,0,2,18,0,0,0,4/4/20,04/04/20
G,Gabon,21,0,1,0,1,19,0,0,0,4/4/20,04/04/20
M,Myanmar,21,1,1,0,0,20,0,0,0,4/4/20,04/04/20
T,Tanzania,20,0,1,0,3,16,0,0,0,4/4/20,04/04/20
H,Haiti,20,2,0,0,1,19,0,200,0,4/4/20,04/04/20
M,Maldives,19,0,0,0,13,6,0,0,0,4/4/20,04/04/20
L,Libya,18,1,1,0,0,17,0,131,0,4/4/20,04/04/20
G,Guinea-Bissau,18,3,0,0,0,18,0,0,0,4/4/20,04/04/20
N,New Caledonia,17,0,0,0,1,16,0,1390,0,4/4/20,04/04/20
S,Syria,16,0,2,0,2,12,0,0,0,4/4/20,04/04/20
B,Benin,16,0,0,0,2,14,0,0,0,4/4/20,04/04/20
E,Equatorial Guinea,16,0,0,0,1,15,0,0,0,4/4/20,04/04/20
A,Antigua and Barbuda,15,0,0,0,0,15,1,40,0,4/4/20,04/04/20
D,Dominica,14,0,0,0,0,14,0,255,0,4/4/20,04/04/20
M,Mongolia,14,0,0,0,2,12,0,0,0,4/4/20,04/04/20
N,Namibia,14,0,0,0,3,11,0,301,0,4/4/20,04/04/20
S,Saint Lucia,14,1,0,0,1,13,0,0,0,4/4/20,04/04/20
F,Fiji,12,5,0,0,0,12,0,0,0,4/4/20,04/04/20
G,Grenada,12,0,0,0,0,12,2,45,0,4/4/20,04/04/20
C,Curaçao,11,0,1,0,5,5,0,0,0,4/4/20,04/04/20
G,Greenland,11,1,0,0,3,8,0,542,0,4/4/20,04/04/20
A,Angola,10,2,2,0,2,6,0,0,0,4/4/20,04/04/20
S,Sudan,10,0,2,0,2,6,0,0,0,4/4/20,04/04/20
L,Liberia,10,3,1,1,3,6,0,0,0,4/4/20,04/04/20
S,Suriname,10,0,1,0,0,9,0,0,0,4/4/20,04/04/20
L,Laos,10,0,0,0,0,10,0,437,0,4/4/20,04/04/20
M,Mozambique,10,0,0,0,1,9,0,338,0,4/4/20,04/04/20
S,Seychelles,10,0,0,0,0,10,0,0,0,4/4/20,04/04/20
M,MS Zaandam,9,0,2,0,0,7,0,0,0,4/4/20,04/04/20
Z,Zimbabwe,9,0,1,0,0,8,0,316,0,4/4/20,04/04/20
N,Nepal,9,3,0,0,1,8,0,1521,0,4/4/20,04/04/20
C,Chad,9,1,0,0,0,9,0,0,0,4/4/20,04/04/20
S,Saint Kitts and Nevis,9,0,0,0,0,9,0,113,0,4/4/20,04/04/20
E,Eswatini,9,0,0,0,0,9,0,0,0,4/4/20,04/04/20
C,CAR,8,0,0,0,0,8,0,0,0,4/4/20,04/04/20
C,Cabo Verde,7,1,1,0,0,6,0,0,0,4/4/20,04/04/20
V,Vatican City,7,0,0,0,0,7,0,0,0,4/4/20,04/04/20
S,St. Vincent Grenadines,7,0,0,0,1,6,0,0,0,4/4/20,04/04/20
S,Somalia,7,0,0,0,1,6,0,0,0,4/4/20,04/04/20
M,Mauritania,6,0,1,0,2,3,0,67,0,4/4/20,04/04/20
M,Montserrat,6,0,0,0,0,6,0,0,0,4/4/20,04/04/20
S,St. Barth,6,0,0,0,1,5,0,0,0,4/4/20,04/04/20
N,Nicaragua,5,0,1,0,0,4,0,0,0,4/4/20,04/04/20
B,Bhutan,5,0,0,0,2,3,0,0,0,4/4/20,04/04/20
T,Turks and Caicos,5,0,0,0,0,5,0,0,0,4/4/20,04/04/20
B,Botswana,4,0,1,0,0,3,0,175,0,4/4/20,04/04/20
G,Gambia,4,0,1,0,2,1,0,0,0,4/4/20,04/04/20
B,Belize,4,0,0,0,0,4,0,25,0,4/4/20,04/04/20
M,Malawi,4,1,0,0,0,4,0,0,0,4/4/20,04/04/20
S,Sierra Leone,4,2,0,0,0,4,0,2,0,4/4/20,04/04/20
W,Western Sahara,4,4,0,0,0,4,0,0,0,4/4/20,04/04/20
A,Anguilla,3,0,0,0,0,3,0,0,0,4/4/20,04/04/20
B,British Virgin Islands,3,0,0,0,0,3,0,0,0,4/4/20,04/04/20
B,Burundi,3,0,0,0,0,3,0,2,0,4/4/20,04/04/20
C,Caribbean Netherlands,2,0,0,0,0,2,0,10,0,4/4/20,04/04/20
F,Falkland Islands,1,0,0,0,0,1,0,0,0,4/4/20,04/04/20
P,Papua New Guinea,1,0,0,0,0,1,0,72,0,4/4/20,04/04/20
T,Timor-Leste,1,0,0,0,0,1,0,0,0,4/4/20,04/04/20
U,USA,3293927,71787,136671,849,1460495,1696761,15777,41010213,331060504,7/10/20,07/15/20
B,Brazil,1804338,45235,70524,1270,1185596,548218,8318,4514329,212603520,7/10/20,07/15/20
I,India,822603,27761,22144,521,516206,284253,8944,11024491,1380381949,7/10/20,07/15/20
R,Russia,713936,6635,11017,174,489068,213851,2300,22388195,145936493,7/10/20,07/15/20
P,Peru,319646,3198,11500,186,210638,97508,1292,1883326,32983682,7/10/20,07/15/20
C,Chile,309274,3058,6781,99,278053,24440,1990,1255359,19120870,7/10/20,07/15/20
S,Spain,300988,852,28403,2,0,0,617,5734599,46755366,7/10/20,07/15/20
U,UK,288133,512,44650,48,0,0,185,11538519,67896748,7/10/20,07/15/20
M,Mexico,282283,7280,33526,730,172230,76527,378,699944,128969990,7/10/20,07/15/20
I,Iran,252720,2262,12447,142,215015,25258,3319,1922501,84021254,7/10/20,07/15/20
S,South Africa,250687,12348,3860,140,118232,128595,539,2057232,59328450,7/10/20,07/15/20
P,Pakistan,243599,2751,5058,75,149092,89449,2375,1514858,220990656,7/10/20,07/15/20
I,Italy,242639,276,34938,12,194273,13428,65,5854621,60458858,7/10/20,07/15/20
S,Saudi Arabia,226486,3159,2151,51,163026,61309,2220,2179448,34827377,7/10/20,07/15/20
T,Turkey,210965,1003,5323,23,191883,13759,1182,3881410,84363898,7/10/20,07/15/20
G,Germany,199588,390,9130,5,184000,6458,278,6376054,83792278,7/10/20,07/15/20
B,Bangladesh,178443,2949,2275,37,86406,89762,1,921272,164734934,7/10/20,07/15/20
F,France,170752,658,30004,25,78388,62360,496,1384633,65278075,7/10/20,07/15/20
C,Colombia,140776,6803,4925,211,58800,77051,875,968465,50897758,7/10/20,07/15/20
C,Canada,107126,321,8759,10,70901,27466,2155,3142702,37751539,7/10/20,07/15/20
Q,Qatar,102630,520,146,4,98233,4251,139,404868,2807805,7/10/20,07/15/20
A,Argentina,94060,3367,1774,54,38984,53302,688,445733,45207451,7/10/20,07/15/20
C,China,83585,4,4634,0,78609,342,4,90410000,1439323776,7/10/20,07/15/20
E,Egypt,80235,981,3702,85,23274,53259,41,135000,102379206,7/10/20,07/15/20
S,Sweden,74898,163,5526,11,0,0,85,600019,10101130,7/10/20,07/15/20
I,Iraq,72460,2848,2960,78,41380,28120,404,661090,40241752,7/10/20,07/15/20
I,Indonesia,72347,1611,3469,52,33529,35349,0,1015678,273603023,7/10/20,07/15/20
E,Ecuador,65018,797,4939,39,29577,30502,308,174769,17649781,7/10/20,07/15/20
B,Belarus,64604,193,454,5,54254,9896,89,1111614,9449221,7/10/20,07/15/20
B,Belgium,62357,147,9781,3,17179,35397,36,1349831,11591164,7/10/20,07/15/20
K,Kazakhstan,54747,1726,264,0,31815,22668,221,1659543,18782716,7/10/20,07/15/20
U,UAE,54050,473,330,2,43969,9751,1,3816000,9893592,7/10/20,07/15/20
O,Oman,53614,1889,244,8,34225,19145,130,231211,5109191,7/10/20,07/15/20
K,Kuwait,53580,740,383,1,43214,9983,157,427006,4272170,7/10/20,07/15/20
P,Philippines,52914,1160,1360,46,13230,38324,333,935763,109619100,7/10/20,07/15/20
U,Ukraine,52043,819,1345,18,24800,25898,101,773831,43724424,7/10/20,07/15/20
N,Netherlands,50840,42,6136,0,0,0,20,681931,17136070,7/10/20,07/15/20
P,Portugal,45679,402,1646,2,30350,13683,66,1316425,10195696,7/10/20,07/15/20
S,Singapore,45613,191,26,0,41780,3807,1,866414,5851668,7/10/20,07/15/20
B,Bolivia,44113,1129,1638,61,13354,29121,71,99212,11677145,7/10/20,07/15/20
P,Panama,43257,1041,863,24,21426,20968,160,158669,4316453,7/10/20,07/15/20
D,Dominican Republic,41915,1125,864,22,20830,20221,226,182263,10850927,7/10/20,07/15/20
P,Poland,37216,265,1562,11,26048,9606,66,1720428,37845235,7/10/20,07/15/20
I,Israel,36266,1441,351,3,18613,17302,130,1192111,9197590,7/10/20,07/15/20
A,Afghanistan,34194,286,971,14,20882,12341,31,78959,38947015,7/10/20,07/15/20
S,Switzerland,32690,104,1966,0,29400,1324,16,670484,8656463,7/10/20,07/15/20
B,Bahrain,32039,511,104,1,27213,4722,53,649020,1702443,7/10/20,07/15/20
R,Romania,31381,592,1847,13,21129,8405,236,824343,19233090,7/10/20,07/15/20
N,Nigeria,31323,575,709,20,12795,17819,7,175656,206242255,7/10/20,07/15/20
A,Armenia,30903,557,546,11,18709,11648,10,131216,2963419,7/10/20,07/15/20
G,Guatemala,27619,961,1139,47,4024,22456,5,64590,17923323,7/10/20,07/15/20
H,Honduras,26384,406,704,10,2779,22901,58,49308,9908504,7/10/20,07/15/20
I,Ireland,25589,24,1744,1,23364,481,9,491648,4939284,7/10/20,07/15/20
G,Ghana,23834,371,135,6,19212,4487,8,322910,31087314,7/10/20,07/15/20
A,Azerbaijan,22990,526,292,8,14093,8605,66,552311,10141758,7/10/20,07/15/20
J,Japan,20719,348,982,1,17652,2085,31,540411,126463242,7/10/20,07/15/20
M,Moldova,18924,258,635,11,12188,6101,391,101180,4033646,7/10/20,07/15/20
A,Austria,18709,94,706,0,16808,1195,9,683484,9007934,7/10/20,07/15/20
A,Algeria,18242,434,996,8,13124,4122,50,0,43869754,7/10/20,07/15/20
S,Serbia,17728,386,370,18,13651,3707,130,480346,8736153,7/10/20,07/15/20
N,Nepal,16649,118,35,0,8011,8603,0,588353,29149210,7/10/20,07/15/20
M,Morocco,15328,249,243,1,11827,3258,19,849097,36922289,7/10/20,07/15/20
C,Cameroon,14916,0,359,0,11525,3032,52,0,26559103,7/10/20,07/15/20
S,S. Korea,13338,45,288,1,12065,985,15,1384890,51270608,7/10/20,07/15/20
C,Czechia,13001,82,352,0,8208,4441,12,588910,10709612,7/10/20,07/15/20
D,Denmark,12946,30,609,0,12077,260,4,1206863,5792833,7/10/20,07/15/20
I,Ivory Coast,12052,302,81,2,6080,5891,0,72599,26391407,7/10/20,07/15/20
U,Uzbekistan,12027,463,54,3,7530,4443,42,1121236,33481555,7/10/20,07/15/20
S,Sudan,10204,46,649,8,5277,4278,0,401,43870614,7/10/20,07/15/20
K,Kenya,9448,473,181,8,2733,6534,44,206584,53796826,7/10/20,07/15/20
A,Australia,9359,300,106,0,7576,1677,13,2965729,25507853,7/10/20,07/15/20
K,Kyrgyzstan,9358,511,122,6,3134,6102,24,236893,6526825,7/10/20,07/15/20
E,El Salvador,9142,298,249,6,5428,3465,274,187316,6487194,7/10/20,07/15/20
N,Norway,8974,9,252,0,8138,584,2,372389,5422463,7/10/20,07/15/20
V,Venezuela,8803,431,83,3,2671,6049,24,1367504,28433198,7/10/20,07/15/20
M,Malaysia,8696,13,121,0,8511,64,2,836255,32376914,7/10/20,07/15/20
D,DRC,7905,59,189,0,3513,4203,0,0,89607886,7/10/20,07/15/20
S,Senegal,7882,98,145,2,5311,2426,38,88729,16752424,7/10/20,07/15/20
N,North Macedonia,7777,205,368,6,3960,3449,55,74562,2083371,7/10/20,07/15/20
F,Finland,7279,6,329,0,6800,150,2,275000,5540995,7/10/20,07/15/20
E,Ethiopia,7120,147,124,4,2430,4566,35,250604,115020833,7/10/20,07/15/20
B,Bulgaria,6964,292,267,5,3308,3389,32,172330,6946549,7/10/20,07/15/20
C,Costa Rica,6845,360,26,1,2110,4709,14,54191,5095429,7/10/20,07/15/20
H,Haiti,6582,96,130,7,2459,3993,0,13709,11406231,7/10/20,07/15/20
T,Tajikistan,6457,47,55,1,5115,1287,0,0,9542213,7/10/20,07/15/20
B,Bosnia and Herzegovina,6402,316,216,2,3037,3149,4,108010,3280092,7/10/20,07/15/20
G,Guinea,5969,88,37,1,4732,1200,24,14407,13139507,7/10/20,07/15/20
G,Gabon,5942,71,46,0,3004,2892,11,46725,2226822,7/10/20,07/15/20
F,French Guiana,5704,146,23,1,2785,2896,30,8707,298833,7/10/20,07/15/20
P,Palestine,5551,331,27,3,536,4988,0,122555,5103894,7/10/20,07/15/20
M,Mauritania,5203,77,146,2,2111,2946,5,13842,4652016,7/10/20,07/15/20
D,Djibouti,4968,13,56,0,4689,223,0,50542,988366,7/10/20,07/15/20
L,Luxembourg,4777,58,110,0,4086,581,3,266437,626228,7/10/20,07/15/20
C,CAR,4259,59,53,1,1142,3064,2,26806,4831780,7/10/20,07/15/20
H,Hungary,4223,3,593,2,2941,689,6,292032,9659520,7/10/20,07/15/20
M,Madagascar,4143,361,34,1,2183,1926,49,27504,27704972,7/10/20,07/15/20
G,Greece,3732,60,193,0,1374,2165,9,363412,10421272,7/10/20,07/15/20
C,Croatia,3532,116,117,2,2377,1038,4,91486,4104365,7/10/20,07/15/20
A,Albania,3278,90,85,2,1875,1318,11,27458,2877693,7/10/20,07/15/20
T,Thailand,3202,0,58,0,3087,57,1,603657,69805487,7/10/20,07/15/20
E,Equatorial Guinea,3071,0,51,0,842,2178,0,16000,1403710,7/10/20,07/15/20
S,Somalia,3038,0,92,0,1209,1737,2,0,15901393,7/10/20,07/15/20
N,Nicaragua,2846,0,91,0,1993,762,0,0,6626665,7/10/20,07/15/20
P,Paraguay,2736,98,20,0,1256,1460,9,84991,7134868,7/10/20,07/15/20
M,Mayotte,2711,9,37,0,2480,194,3,8800,272950,7/10/20,07/15/20
M,Maldives,2617,64,13,0,2238,366,12,59981,540771,7/10/20,07/15/20
S,Sri Lanka,2454,300,11,0,1980,463,1,114765,21415999,7/10/20,07/15/20
C,Cuba,2413,10,86,0,2249,78,4,198675,11326388,7/10/20,07/15/20
M,Mali,2404,34,121,1,1650,633,0,16317,20261296,7/10/20,07/15/20
L,Lebanon,2082,71,36,0,1402,644,11,164616,6824381,7/10/20,07/15/20
M,Malawi,2069,127,31,6,379,1659,4,18814,19139607,7/10/20,07/15/20
C,Congo,2028,207,47,0,589,1392,0,0,5520829,7/10/20,07/15/20
S,South Sudan,2021,0,38,0,333,1650,0,10824,11197252,7/10/20,07/15/20
E,Estonia,2013,2,69,0,1894,50,1,111466,1326564,7/10/20,07/15/20
Z,Zambia,1895,0,42,0,1348,505,1,56825,18393412,7/10/20,07/15/20
I,Iceland,1886,4,10,0,1859,17,0,94731,341308,7/10/20,07/15/20
S,Slovakia,1870,19,28,0,1481,361,3,225950,5459728,7/10/20,07/15/20
L,Lithuania,1861,4,79,0,1569,213,15,455833,2720799,7/10/20,07/15/20
G,Guinea-Bissau,1842,52,26,1,773,1043,5,1500,1968964,7/10/20,07/15/20
S,Slovenia,1793,17,111,0,1460,222,0,113864,2078947,7/10/20,07/15/20
S,Sierra Leone,1613,15,63,0,1133,417,0,0,7980624,7/10/20,07/15/20
C,Cabo Verde,1591,39,19,1,730,842,0,39485,556152,7/10/20,07/15/20
N,New Zealand,1542,2,22,0,1497,23,0,424719,5002100,7/10/20,07/15/20
H,Hong Kong,1404,38,7,0,1187,210,2,347400,7498726,7/10/20,07/15/20
Y,Yemen,1380,24,364,3,630,386,0,120,29840124,7/10/20,07/15/20
L,Libya,1342,0,38,0,307,997,0,33734,6873714,7/10/20,07/15/20
B,Benin,1285,86,23,2,333,929,1,56613,12129342,7/10/20,07/15/20
E,Eswatini,1257,44,18,1,633,606,5,14247,1160495,7/10/20,07/15/20
R,Rwanda,1252,42,3,0,635,614,0,176260,12958669,7/10/20,07/15/20
T,Tunisia,1240,9,50,0,1067,123,0,76418,11822021,7/10/20,07/15/20
J,Jordan,1173,4,10,0,986,177,3,454575,10205948,7/10/20,07/15/20
L,Latvia,1165,11,30,0,1019,116,1,165610,1885408,7/10/20,07/15/20
